indice,id_producto,nombre_producto,hexadecimal,categoria_prenda,subcategoria_prenda,adventurous,weather,style,application,print,basic,nivel,subnivel
56,17b3aeca-22dc-419c-b207-a1ebc106df5e,Jule Sweater colors ,000000,top,sweaters,2,cold_season,boho,freetime,smooth,False,3,3.1
57,17b3aeca-22dc-419c-b207-a1ebc106df5e,Jule Sweater colors ,B11730,top,sweaters,2,cold_season,boho,freetime,smooth,False,3,3.1
58,17b3aeca-22dc-419c-b207-a1ebc106df5e,Jule Sweater colors ,FFFFFF,top,sweaters,2,cold_season,boho,freetime,smooth,False,3,3.1
59,17b3aeca-22dc-419c-b207-a1ebc106df5e,Jule Sweater colors ,DEB24C,top,sweaters,2,cold_season,boho,freetime,smooth,False,3,3.1
60,c83994fb-903b-493b-af93-1239aa691d65,Aitana Jacket moon,00008b,outerwear,bomber,3,warm_season,casual,freetime,smooth,False,4,4.1
70,8cbed41b-7e50-4ab7-be33-fb3d6d4730ab,Olive Pant crux ,000000,bottoms,jegging,2,cold_season,classic,work,herringbone,False,2,2.2
71,878d0b20-a0f7-4c8e-948c-03762e67dda2,Ava Dress printed,FFFFFF,dress,with_pleat,3,warm,boho,freetime,floral,False,1,1.1
72,878d0b20-a0f7-4c8e-948c-03762e67dda2,Ava Dress printed,00008b,dress,with_pleat,3,warm,boho,freetime,floral,False,1,1.1
73,649769c3-e30c-4018-8474-31f750affd84,Akoz Shirt venus ,F29985,top,shirt,2,warm_season,classic,work,smooth,False,3,3.1
74,649769c3-e30c-4018-8474-31f750affd84,Akoz Shirt venus ,BBE2AD,top,shirt,2,warm_season,classic,work,smooth,False,3,3.1
75,649769c3-e30c-4018-8474-31f750affd84,Akoz Shirt venus ,DEB24C,top,shirt,2,warm_season,classic,work,smooth,False,3,3.1
76,649769c3-e30c-4018-8474-31f750affd84,Akoz Shirt venus ,00008b,top,shirt,2,warm_season,classic,work,smooth,False,3,3.1
77,649769c3-e30c-4018-8474-31f750affd84,Akoz Shirt venus ,ECE9D6,top,shirt,2,warm_season,classic,work,smooth,False,3,3.1
78,649769c3-e30c-4018-8474-31f750affd84,Akoz Shirt venus ,000000,top,shirt,2,warm_season,classic,work,smooth,False,3,3.1
79,b71a1920-5853-4238-b92e-6e3d1e3c4c72,Viseana Pant chino ,666633,bottoms,chino,2,warm_season,classic,work,smooth,False,2,2.2
80,b71a1920-5853-4238-b92e-6e3d1e3c4c72,Viseana Pant chino ,ECE9D6,bottoms,chino,2,warm_season,classic,work,smooth,False,2,2.2
81,3e4da57d-808c-423e-a82b-924659ba09d1,Arya Shirt easy,008000,top,shirt,3,warm_season,boho,freetime,floral,False,3,3.1
83,a8b270cc-39e9-4f22-aab7-cf295e1368e3,Cerise Top juno ,DEB24C,top,tops,3,warm,boho,work,floral,False,3,3.1
87,6884fe3a-bd99-4e37-b4f0-b95065c9d0f9,Boho Top cerise,FFFFFF,top,tops,2,warm,boho,freetime,smooth,False,3,3.1
93,37063d28-8cb5-4b98-9309-0817824f734b,Akoz Skirt spring ,B94600,skirt,pleated,3,warm_season,boho,freetime,retro,False,2,2.1
94,0c068baa-9644-4961-a928-4c55badec158,Vijules Jeans washed,000081,bottoms,mom_jeans,3,warm_season,street,freetime,smooth,False,2,2.2
95,0c068baa-9644-4961-a928-4c55badec158,Vijules Jeans washed,FFC0CB,bottoms,mom_jeans,3,warm_season,street,freetime,smooth,False,2,2.2
96,f488b259-9e26-41df-9f45-ffb32411b53a,Lindex Pant nice,DEB24C,bottoms,skinny,2,warm_season,boho,freetime,smooth,False,2,2.2
97,63cf15e3-4200-414f-b0d6-085963bcd9a3,Lindex Shirt dots,00008b,top,shirt,2,warm_season,classic,work,polka_dot,False,3,3.1
98,7c28b581-1710-4c76-aade-52cb58c9c38e,Lindex Shirt stripes,F29985,top,shirt,2,warm_season,classic,work,vertical_stripes,False,3,3.1
99,ea3eee88-e9ee-4313-8824-c612208f5094,Lindex Pant hannah,87CEFA,bottoms,chino,2,warm_season,classic,work,smooth,False,2,2.2
100,ea3eee88-e9ee-4313-8824-c612208f5094,Lindex Pant hannah,00008b,bottoms,chino,2,warm_season,classic,work,smooth,False,2,2.2
101,8602347f-7474-49d4-8491-a8caee98ae9d,Sally Jeans denim,00008b,bottoms,skinny,2,warm_season,classic,work,smooth,False,2,2.2
103,51173c8f-3b85-4ac6-bb2a-73ec910e7985,Holly Shirt light,87CEFA,top,shirt,3,warm_season,classic,work,printed,False,3,3.1
111,d9c1cfe0-821e-4759-8b6e-1af60075b166,Feather Top cerise ,FFA500,top,tops,2,warm_season,boho,freetime,sheets,False,3,3.1
115,a8cc33d4-08c3-44b4-b259-904fb745e36c,Lindex Jacket belt ,5F5E5E,outerwear,trench,3,warm_season,boho,freetime,smooth,False,4,4.1
116,a8cc33d4-08c3-44b4-b259-904fb745e36c,Lindex Jacket belt ,FFC0CB,outerwear,trench,3,warm_season,boho,freetime,smooth,False,4,4.1
117,a8cc33d4-08c3-44b4-b259-904fb745e36c,Lindex Jacket belt ,666633,outerwear,trench,3,warm_season,boho,freetime,smooth,False,4,4.1
125,511a24b0-c422-4833-a646-669cb4a75373,Leopard Sweatshirt dixie,ECE9D6,top,hoodies,3,cold_season,street,freetime,animal_print,False,3,3.1
126,c6a2397c-cb85-429f-a04e-4d2a1f3fb4bf,Objwin Skirt denim,FFFFFF,skirt,straight,3,warm_season,casual,freetime,smooth,False,2,2.1
128,d633120b-d79f-4674-b692-fffb790b5d49,Closet Jacket arizona,ECE9D6,outerwear,kimono,3,warm_season,boho,freetime,floral,False,4,4.1
131,33dbd617-92e5-457d-bcee-5c33145050f6,Alanis Sweatshirt mellow,FFFF00,top,hoodies,3,cold_season,casual,freetime,smooth,False,3,3.1
132,fd1de2ea-773b-4de3-8f10-ab67f354be73,Eurydice Top nice ,666633,top,tops,3,warm,night,night,smooth,False,3,3.1
133,fd1de2ea-773b-4de3-8f10-ab67f354be73,Eurydice Top nice ,000000,top,tops,3,warm,night,night,smooth,False,3,3.1
137,0976f186-9b3f-425d-a1a6-33aa309557ed,Nissa Shirt sweet,ECE9D6,top,shirt,2,warm_season,classic,work,smooth,False,3,3.1
138,0976f186-9b3f-425d-a1a6-33aa309557ed,Nissa Shirt sweet,000000,top,shirt,2,warm_season,classic,work,smooth,False,3,3.1
141,ed6f3632-46ab-491a-8bc6-bec0e5c5409b,Jrqueen Jeans slim,000000,bottoms,cigarette,2,warm_season,casual,freetime,smooth,False,2,2.2
142,3e7974a6-8bd4-4895-88f4-5d332e84d0fb,Masha Tshirt tee,ECE9D6,top,t-shirts,2,warm,casual,freetime,horizontal_stripes,False,3,3.1
143,190ecf40-c116-4c35-8736-57b273383902,Masha Tshirt mid,ECE9D6,top,t-shirts,2,warm_season,casual,freetime,horizontal_stripes,False,3,3.1
144,aa5ca9a2-5114-4b08-9d8e-988007475ae0,Panik Tshirt one,FFFFFF,top,t-shirts,2,warm,boho,freetime,smooth,False,3,3.1
147,00cef638-ccb2-4ed6-8256-1cd62a187bf3,Brun Tshirt bananas,00008b,top,t-shirts,2,cold_season,casual,freetime,horizontal_stripes,False,3,3.1
148,92ace421-bca5-46b7-a5fb-02d8d84730dd,Joy Shirt giraffe,FFFFFF,top,shirt,4,warm_season,boho,freetime,printed,False,3,3.1
149,d03d4b59-0807-4f12-86d3-461846648dac,Flower Scarf big,614051,scarf,handkerchief,3,warm,boho,freetime,animal_print,False,4,4.2
150,d03d4b59-0807-4f12-86d3-461846648dac,Flower Scarf big,008000,scarf,handkerchief,3,warm,boho,freetime,animal_print,False,4,4.2
151,ad8fb61a-85d8-41a5-9776-7ae7d4feb843,Closet Shirt maine,ECE9D6,top,shirt,2,warm_season,classic,freetime,floral,False,3,3.1
155,5f2048c6-4e7b-45f7-bc30-ae187b0b5cec,Cherry Sweater print ,00008b,top,sweaters,3,cold_season,boho,freetime,printed,False,3,3.1
156,8a7b4bf2-dc4c-4698-a7f4-69a77b612bf1,Nando Scarf stola ,800000,scarf,foulard,3,warm_season,casual,work,smooth,False,4,4.2
157,8a7b4bf2-dc4c-4698-a7f4-69a77b612bf1,Nando Scarf stola ,808080,scarf,foulard,3,warm_season,casual,work,smooth,False,4,4.2
158,8a7b4bf2-dc4c-4698-a7f4-69a77b612bf1,Nando Scarf stola ,00008b,scarf,foulard,3,warm_season,casual,work,smooth,False,4,4.2
159,8b2abe8a-1737-4f5b-9c49-3870d48f7d7d,Closet Dress texas,000081,dress,shirt,3,warm,boho,freetime,floral,False,1,1.1
162,e5991517-b8a3-483b-917a-5befa1c31503,Edith Pant beng,00008b,bottoms,chino,2,warm_season,classic,work,smooth,False,2,2.2
163,e5991517-b8a3-483b-917a-5befa1c31503,Edith Pant beng,000000,bottoms,chino,2,warm_season,classic,work,smooth,False,2,2.2
164,e5991517-b8a3-483b-917a-5befa1c31503,Edith Pant beng,DFC8B2,bottoms,chino,2,warm_season,classic,work,smooth,False,2,2.2
166,0491fefe-ed47-4361-8f72-a56a733e4ff8,Closet Dress michigan,000000,dress,shirt,3,warm,boho,freetime,floral,False,1,1.1
170,312ea917-b9ef-4cff-bcc5-a665122e67b5,Lesa Shirt saint,000000,top,blouse,2,warm_season,classic,work,miniprint,False,3,3.1
173,e86d3683-5746-4bf0-a6db-10d54e585539,Coco Tshirt tank,BBE2AD,top,t-shirts,3,warm,street,freetime,smooth,False,3,3.1
174,e86d3683-5746-4bf0-a6db-10d54e585539,Coco Tshirt tank,5F5E5E,top,t-shirts,3,warm,street,freetime,smooth,False,3,3.1
175,6f13b71f-4667-49d0-9c67-3aa65209ea3d,Amuse Tshirt society,5F5E5E,top,t-shirts,2,warm_season,street,freetime,smooth,False,3,3.1
176,6f13b71f-4667-49d0-9c67-3aa65209ea3d,Amuse Tshirt society,ECE9D6,top,t-shirts,2,warm_season,street,freetime,smooth,False,3,3.1
178,47f52c55-05c8-4e2b-9bce-97ebe640b782,Closet Jacket illinois,000000,outerwear,kimono,3,warm,night,freetime,floral,False,4,4.1
179,47f17c66-962b-46e0-89f0-79a79dc4a7de,Palm Tshirt rainbow ,FFFFFF,top,hoodies,3,warm_season,street,freetime,horizontal_stripes,False,3,3.1
187,93cc89ac-f4f8-41ca-9420-2bd7fc4869e7,Limbo Scarf stola,000081,scarf,foulard,2,warm_season,casual,freetime,horizontal_stripes,False,4,4.2
188,93cc89ac-f4f8-41ca-9420-2bd7fc4869e7,Limbo Scarf stola,FFC0CB,scarf,foulard,2,warm_season,casual,freetime,horizontal_stripes,False,4,4.2
200,85fe5f92-4bdf-4d21-a503-5ca6eba08435,Dusta Skirt doll ,462C0E,skirt,pleated,3,warm_season,boho,work,polka_dot,False,2,2.1
201,85fe5f92-4bdf-4d21-a503-5ca6eba08435,Dusta Skirt doll ,000000,skirt,pleated,3,warm_season,boho,work,polka_dot,False,2,2.1
209,0f069273-af2d-4d67-9a94-b48c79374070,Carth Jeans noss ,000081,bottoms,cigarette,2,warm_season,street,freetime,smooth,False,2,2.2
238,9675fef9-377f-4cf1-9e8e-1891d459dc0a,Vinaja Jacket short,164A0A,outerwear,jacket,1,cold_season,classic,working_girl,smooth,True,4,4.1
244,9675fef9-377f-4cf1-9e8e-1891d459dc0a,Vinaja Jacket short,808080,outerwear,jacket,1,cold_season,classic,working_girl,smooth,True,4,4.1
245,9675fef9-377f-4cf1-9e8e-1891d459dc0a,Vinaja Jacket short,00008b,outerwear,jacket,1,cold_season,classic,working_girl,smooth,True,4,4.1
254,f492187f-9cc1-42bf-9f04-c64a0932db1b,Ycoo Pant nice ,DFC8B2,bottoms,chino,2,warm_season,classic,work,smooth,False,2,2.2
255,6650308e-bfd3-46b2-8310-2d78a3dfaaf3,Organic Cardigan rose,DEB24C,top,cardigan,3,warm_season,boho,work,smooth,False,3,3.1
256,6650308e-bfd3-46b2-8310-2d78a3dfaaf3,Organic Cardigan rose,800000,top,cardigan,3,warm_season,boho,work,smooth,False,3,3.1
257,6650308e-bfd3-46b2-8310-2d78a3dfaaf3,Organic Cardigan rose,87CEFA,top,cardigan,3,warm_season,boho,work,smooth,False,3,3.1
258,6650308e-bfd3-46b2-8310-2d78a3dfaaf3,Organic Cardigan rose,FFA500,top,cardigan,3,warm_season,boho,work,smooth,False,3,3.1
269,0fe6f14c-86cf-4bf8-9327-ce28725cd153,Elina Sweater blaz ,00008b,top,sweaters,2,warm_season,casual,work,smooth,False,3,3.1
270,0fe6f14c-86cf-4bf8-9327-ce28725cd153,Elina Sweater blaz ,666633,top,sweaters,2,warm_season,casual,work,smooth,False,3,3.1
271,0fe6f14c-86cf-4bf8-9327-ce28725cd153,Elina Sweater blaz ,ECE9D6,top,sweaters,2,warm_season,casual,work,smooth,False,3,3.1
272,64ad6071-b430-4831-a3a1-639dd58400bd,Ihcayce Tshirt stripes ,000081,top,t-shirts,3,warm_season,casual,freetime,horizontal_stripes,False,3,3.1
273,64ad6071-b430-4831-a3a1-639dd58400bd,Ihcayce Tshirt stripes ,FFFF00,top,t-shirts,3,warm_season,casual,freetime,horizontal_stripes,False,3,3.1
274,64ad6071-b430-4831-a3a1-639dd58400bd,Ihcayce Tshirt stripes ,000000,top,t-shirts,3,warm_season,casual,freetime,horizontal_stripes,False,3,3.1
275,816d9469-61c6-4fcc-b679-2ba4b4e1057e,Zinka Dress summer,000000,dress,beachy,2,warm_season,boho,freetime,sheets,False,1,1.1
276,816d9469-61c6-4fcc-b679-2ba4b4e1057e,Zinka Dress summer,B11730,dress,beachy,2,warm_season,boho,freetime,sheets,False,1,1.1
277,6725ccf1-cb4b-4a23-9e1e-91a3764f9aa2,Zinka Shirt flower,000000,top,blouse,2,warm_season,classic,work,floral,False,3,3.1
278,4862a20d-5121-4350-8a4b-af7d7a0f53d7,Spice Tshirt mila,FFFF00,top,t-shirts,3,warm_season,boho,freetime,printed,False,3,3.1
279,4862a20d-5121-4350-8a4b-af7d7a0f53d7,Spice Tshirt mila,D84936,top,t-shirts,3,warm_season,boho,freetime,printed,False,3,3.1
280,4862a20d-5121-4350-8a4b-af7d7a0f53d7,Spice Tshirt mila,FFFFFF,top,t-shirts,3,warm_season,boho,freetime,printed,False,3,3.1
281,4862a20d-5121-4350-8a4b-af7d7a0f53d7,Spice Tshirt mila,00008b,top,t-shirts,3,warm_season,boho,freetime,printed,False,3,3.1
285,27f6e752-0cbf-4d54-bf5f-89c08a861760,Vidream Tshirt pure ,008000,top,t-shirts,2,warm_season,casual,freetime,smooth,False,3,3.1
286,27f6e752-0cbf-4d54-bf5f-89c08a861760,Vidream Tshirt pure ,666633,top,t-shirts,2,warm_season,casual,freetime,smooth,False,3,3.1
287,8b361e4f-f5e4-41da-9ff8-728d5b166fc8,Film Bag autum ,DFC8B2,bag,crossbag,3,warm,boho,freetime,smooth,False,4,4.3
289,f66d8fbf-eb72-422f-a4b3-ea00cfae5067,Kate Jeans denim ,800000,bottoms,bermuda,3,warm,casual,freetime,smooth,False,2,2.2
290,66449b3d-d567-41fe-82cc-59503e582bc8,Objcecil Pant season ,FFC0CB,bottoms,straight,3,warm_season,classic,work,smooth,False,2,2.2
291,66449b3d-d567-41fe-82cc-59503e582bc8,Objcecil Pant season ,008000,bottoms,straight,3,warm_season,classic,work,smooth,False,2,2.2
292,66449b3d-d567-41fe-82cc-59503e582bc8,Objcecil Pant season ,164A0A,bottoms,straight,3,warm_season,classic,work,smooth,False,2,2.2
297,30d6b5b8-fa1c-449c-adc3-c166d8acf729,Carstorm Jeans noos ,00008b,bottoms,cigarette,2,warm_season,casual,work,smooth,False,2,2.2
301,9d21c8f0-1551-459e-926b-0fc10ed41ae0,King Skirt garden ,ECE9D6,skirt,circle_skirt,3,warm_season,boho,freetime,floral,False,2,2.1
305,6428e8ac-5ee5-4948-853e-2075859c3aad,Pcfive Jean skn ,000000,bottoms,cigarette,2,warm_season,street,freetime,smooth,False,2,2.2
306,47b81561-93bc-43b3-8676-a28b71844ff4,Tiel Pant paris ,C19A6B,bottoms,paper_bag,3,warm_season,minimal,work,smooth,False,2,2.2
307,47b81561-93bc-43b3-8676-a28b71844ff4,Tiel Pant paris ,B94600,bottoms,paper_bag,3,warm_season,minimal,work,smooth,False,2,2.2
308,47b81561-93bc-43b3-8676-a28b71844ff4,Tiel Pant paris ,000000,bottoms,paper_bag,3,warm_season,minimal,work,smooth,False,2,2.2
309,47b81561-93bc-43b3-8676-a28b71844ff4,Tiel Pant paris ,164A0A,bottoms,paper_bag,3,warm_season,minimal,work,smooth,False,2,2.2
310,1fb66c41-be23-4432-9028-71f0ff48a69a,Laure Dress itta,164A0A,dress,with_pleat,2,warm,boho,freetime,retro,False,1,1.1
311,a64d05a8-2960-4ce3-94ab-bde73967e54b,Minnie Dress flower,00008b,dress,with_pleat,2,warm_season,boho,freetime,floral,False,1,1.1
312,a64d05a8-2960-4ce3-94ab-bde73967e54b,Minnie Dress flower,D84936,dress,with_pleat,2,warm_season,boho,freetime,floral,False,1,1.1
313,5cc88cfc-aa93-491e-b3f9-adef65f4f3f6,Allison Skirt easy,008000,skirt,flared_skirt,3,warm,boho,freetime,floral,False,2,2.1
318,6806dda3-1c23-4347-8036-f3c26e674cbd,Dita Dress sharp,D84936,dress,shirt,3,warm,boho,freetime,smooth,False,1,1.1
319,f00e115d-86a7-4cc3-a2c6-6d2c8de67dff,Arel Bag gold ,462C0E,bag,crossbag,4,warm_season,classic,freetime,smooth,False,4,4.3
325,92853f63-855f-4840-812a-dcb3bf6326d8,Dust Short summer,A57E62,bottoms,shorts,3,warm,boho,freetime,vertical_stripes,False,2,2.2
326,fe0dbe3f-bd18-44ef-8ef6-76ba1a5c1f9d,Paisley Shirt multi,BBA9E4,top,blouse,3,warm_season,classic,work,cachemere,False,3,3.1
327,f32b68cb-3274-4f18-a2b8-c1e33216b4c5,Buttons Top summ,DFC8B2,top,tops,3,warm,boho,freetime,smooth,False,3,3.1
328,f32b68cb-3274-4f18-a2b8-c1e33216b4c5,Buttons Top summ,B94600,top,tops,3,warm,boho,freetime,smooth,False,3,3.1
329,f32b68cb-3274-4f18-a2b8-c1e33216b4c5,Buttons Top summ,DEB24C,top,tops,3,warm,boho,freetime,smooth,False,3,3.1
330,920eb514-d33c-4e43-90dd-00f28b05b443,Alice Shirt off,000000,top,blouse,3,warm,boho,work,smooth,False,3,3.1
331,920eb514-d33c-4e43-90dd-00f28b05b443,Alice Shirt off,ECE9D6,top,blouse,3,warm,boho,work,smooth,False,3,3.1
332,ab499095-d110-40db-9906-63947eb34ec3,Mannie Dress dark,00008b,dress,lady,3,warm,classic,work,retro,False,1,1.1
334,a6912d44-eea3-4deb-ad57-2166db14e335,Utility Dress pocket,164A0A,dress,knitted,2,warm_season,boho,freetime,smooth,False,1,1.1
335,12bcb495-4eba-4bcd-a5bd-6be22f3ba884,Vneck Jumpsuit back,D84936,jumpsuit,jumpsuit,3,warm,classic,work,smooth,False,1,1.2
345,c7ab5f58-85b5-47a6-9f38-7e84e77609c5,Majo Jacket bomber ,00008b,outerwear,bomber,3,cold_season,street,freetime,floral,False,4,4.1
346,183bb934-5555-4265-b83a-7f0e7b48eb3e,Pretty Top season ,FFFFFF,top,tops,2,warm,boho,freetime,smooth,False,3,3.1
347,183bb934-5555-4265-b83a-7f0e7b48eb3e,Pretty Top season ,C19A6B,top,tops,2,warm,boho,freetime,smooth,False,3,3.1
357,63bc3d09-05fc-49b7-a19e-66cdf0117bf1,Cio Shirt blue,87CEFA,top,shirt,2,cold_season,casual,freetime,smooth,False,3,3.1
358,535e6ed4-300c-461d-88b1-a3c1a2a541f4,Objstep Skirt noos,00008b,skirt,straight,3,warm,street,freetime,horizontal_stripes,False,2,2.1
359,535e6ed4-300c-461d-88b1-a3c1a2a541f4,Objstep Skirt noos,008000,skirt,straight,3,warm,street,freetime,horizontal_stripes,False,2,2.1
371,dba48a17-1f89-4a61-bc22-ff679e6a19df,Cerise Dress solid,000000,dress,straight,3,warm,boho,freetime,smooth,False,1,1.1
372,dba48a17-1f89-4a61-bc22-ff679e6a19df,Cerise Dress solid,FFFFFF,dress,straight,3,warm,boho,freetime,smooth,False,1,1.1
375,c6b8c5a7-8820-46fc-a3f2-57aa1df28ebb,Ycoo Top shine ,000000,top,tops,3,warm,boho,freetime,smooth,False,3,3.1
376,c6b8c5a7-8820-46fc-a3f2-57aa1df28ebb,Ycoo Top shine ,00008b,top,tops,3,warm,boho,freetime,smooth,False,3,3.1
392,c78a35dd-b6b3-4ee5-bc9c-efeb8b82e9c8,Ihma Sweater nice,808080,top,sweaters,1,cold_season,classic,work,smooth,True,3,3.1
393,c78a35dd-b6b3-4ee5-bc9c-efeb8b82e9c8,Ihma Sweater nice,00008b,top,sweaters,1,cold_season,classic,work,smooth,True,3,3.1
394,c78a35dd-b6b3-4ee5-bc9c-efeb8b82e9c8,Ihma Sweater nice,000000,top,sweaters,1,cold_season,classic,work,smooth,True,3,3.1
400,834359f6-3803-4570-b935-0a308ae697f2,Amapola Shirt print,ECE9D6,top,shirt,3,warm_season,classic,freetime,miniprint,False,3,3.1
401,6e49d1c1-cdec-47ae-977e-905b680356ff,Freeman Jeans mavuto,808080,bottoms,cigarette,2,cold_season,boho,freetime,smooth,False,2,2.2
402,72f9f5b8-73ae-443e-a259-61408b36944f,Flower Jacket bomb,000000,outerwear,bomber,3,warm_season,boho,freetime,floral,False,4,4.1
403,6cda9f3c-d5a0-4079-94ea-4e6e07463915,Lisa Shirt romb,C19A6B,top,shirt,3,warm_season,street,freetime,retro,False,3,3.1
405,6a19dd27-137e-4ee7-8413-c9fcb7783764,Elle Tshirt cotton ,87CEFA,top,t-shirts,2,warm_season,casual,freetime,smooth,False,3,3.1
406,6a19dd27-137e-4ee7-8413-c9fcb7783764,Elle Tshirt cotton ,ECE9D6,top,t-shirts,2,warm_season,casual,freetime,smooth,False,3,3.1
407,6a19dd27-137e-4ee7-8413-c9fcb7783764,Elle Tshirt cotton ,000000,top,t-shirts,2,warm_season,casual,freetime,smooth,False,3,3.1
437,a9b7e9be-9391-48a1-8615-249bfc537fd1,Ihhuva Skirt denim ,000081,skirt,tube,2,warm_season,casual,freetime,smooth,False,2,2.1
438,0a843a05-028e-47e1-9fb3-5eb9d1f4fd99,Closet Skirt urano ,DFC8B2,skirt,straight,3,warm,boho,freetime,animal_print,False,2,2.1
444,2aa36495-76ff-4250-8bfe-254055433a8f,Odell Jacket fit,666633,outerwear,structured_jacket,2,warm_season,casual,freetime,smooth,False,4,4.1
445,2aa36495-76ff-4250-8bfe-254055433a8f,Odell Jacket fit,FFFFFF,outerwear,structured_jacket,2,warm_season,casual,freetime,smooth,False,4,4.1
448,112a4113-11e1-41e6-8be9-962bb939db9d,Jaliva Parka solid ,00008b,outerwear,parka,2,cold_season,boho,freetime,smooth,False,4,4.1
449,112a4113-11e1-41e6-8be9-962bb939db9d,Jaliva Parka solid ,666633,outerwear,parka,2,cold_season,boho,freetime,smooth,False,4,4.1
450,a99013ff-674a-4c29-91a5-c875b46e2cca,Pclogan Jeans slim ,666633,bottoms,chino,2,cold_season,classic,work,pied_de_poule,False,2,2.2
451,a99013ff-674a-4c29-91a5-c875b46e2cca,Pclogan Jeans slim ,DFC8B2,bottoms,chino,2,cold_season,classic,work,pied_de_poule,False,2,2.2
452,cadc062a-be3b-410a-95a6-a4acfcaa0155,Alva Tshirt msch ,FFFFFF,top,t-shirts,2,warm_season,street,freetime,smooth,False,3,3.1
453,cadc062a-be3b-410a-95a6-a4acfcaa0155,Alva Tshirt msch ,0000FF,top,t-shirts,2,warm_season,street,freetime,smooth,False,3,3.1
454,cadc062a-be3b-410a-95a6-a4acfcaa0155,Alva Tshirt msch ,000000,top,t-shirts,2,warm_season,street,freetime,smooth,False,3,3.1
455,cadc062a-be3b-410a-95a6-a4acfcaa0155,Alva Tshirt msch ,164A0A,top,t-shirts,2,warm_season,street,freetime,smooth,False,3,3.1
456,cadc062a-be3b-410a-95a6-a4acfcaa0155,Alva Tshirt msch ,614051,top,t-shirts,2,warm_season,street,freetime,smooth,False,3,3.1
457,6bc7aae2-1318-4430-8529-5ecfa0c7077a,Vidream T-shirt city,00008b,top,t-shirts,2,warm,casual,freetime,horizontal_stripes,False,3,3.1
458,77b6e69b-19e7-4a79-b03b-cdb2b6c628ca,Hainaut Dress fantasy,ECE9D6,dress,puff,3,warm,boho,freetime,floral,False,1,1.1
459,fea9a3f0-37b6-47fd-9da9-2abf2e9868bc,Rane Pant denim ,87CEFA,bottoms,cigarette,3,warm_season,street,freetime,vertical_stripes,False,2,2.2
460,dfc2d073-72f9-4a00-9e0b-cd84aaaceccf,Malou Jacket blazer,FFFFFF,outerwear,blazer,2,warm_season,classic,work,smooth,False,4,4.1
461,dfc2d073-72f9-4a00-9e0b-cd84aaaceccf,Malou Jacket blazer,00008b,outerwear,blazer,2,warm_season,classic,work,smooth,False,4,4.1
